customer_name,customer_id,campaign_name,campaign_state,campaign_type,campaign_sub_type,campaign_id,data_day,country,device,network,currency,time_zone,month,clicks,impressions,cost,conversions,views,all_conversions,all_conversions_value,fetch_time,conversions_value,conversions_from_interactions_rate,cost_per_conversion,day_of_week,week_of_year,month_of_year,quarter,year,quarter_of_year,week_with_date
ftsparke,86579037,SHOPPING-US-1103,ENABLED,Shopping,UNSPECIFIED,18809608276,2022-12-19,US,TABLET,Google search,USD,Asia/Hong_Kong,Dec 2022,0,27,0,0,0,0,0,2022-12-19 00:32:52,0,0,0,1,51,12,4,2022,2022Q4,第51周(12/19~12/25)
ftsparke,86579037,SHOPPING-US-1103,ENABLED,Shopping,UNSPECIFIED,18809608276,2022-12-19,US,TABLET,Google search,USD,Asia/Hong_Kong,Dec 2022,0,1,0,0,0,0,0,2022-12-19 00:32:52,0,0,0,1,51,12,4,2022,2022Q4,第51周(12/19~12/25)
ftsparke,86579037,SHOPPING-US-1103,ENABLED,Shopping,UNSPECIFIED,18809608276,2022-12-19,US,MOBILE,Google search,USD,Asia/Hong_Kong,Dec 2022,13,2030,1.407,0,0,46,46,2022-12-19 00:32:52,0,0,0,1,51,12,4,2022,2022Q4,第51周(12/19~12/25)
ftsparke,86579037,SHOPPING-US-1103,ENABLED,Shopping,UNSPECIFIED,18809608276,2022-12-19,US,MOBILE,Google search,USD,Asia/Hong_Kong,Dec 2022,0,27,0,0,0,0,0,2022-12-19 00:32:52,0,0,0,1,51,12,4,2022,2022Q4,第51周(12/19~12/25)
ftsparke,86579037,SHOPPING-US-1103,ENABLED,Shopping,UNSPECIFIED,18809608276,2022-12-19,US,DESKTOP,Google search,USD,Asia/Hong_Kong,Dec 2022,1,137,0.081,0,0,6,6,2022-12-19 00:32:52,0,0,0,1,51,12,4,2022,2022Q4,第51周(12/19~12/25)
ftsparke,86579037,SHOPPING-US-1103,ENABLED,Shopping,UNSPECIFIED,18809608276,2022-12-19,US,DESKTOP,Google search,USD,Asia/Hong_Kong,Dec 2022,0,5,0,0,0,0,0,2022-12-19 00:32:52,0,0,0,1,51,12,4,2022,2022Q4,第51周(12/19~12/25)
LI-01-36,72558742,钢琴App promotion-App-1,ENABLED,App,APP_CAMPAIGN,19006054010,2022-12-19,VE,MOBILE,Display Network,USD,Asia/Shanghai,Dec 2022,0,7,0,0,0,0,0,2022-12-19 00:32:52,0,0,0,1,51,12,4,2022,2022Q4,第51周(12/19~12/25)
LI-01-36,72558742,钢琴App promotion-App-1,ENABLED,App,APP_CAMPAIGN,19006054010,2022-12-19,UA,MOBILE,Display Network,USD,Asia/Shanghai,Dec 2022,0,1,0,0,0,0,0,2022-12-19 00:32:52,0,0,0,1,51,12,4,2022,2022Q4,第51周(12/19~12/25)
LI-01-36,72558742,钢琴App promotion-App-1,ENABLED,App,APP_CAMPAIGN,19006054010,2022-12-19,TZ,MOBILE,Display Network,USD,Asia/Shanghai,Dec 2022,0,1,0,0,0,0,0,2022-12-19 00:32:52,0,0,0,1,51,12,4,2022,2022Q4,第51周(12/19~12/25)
LI-01-36,72558742,钢琴App promotion-App-1,ENABLED,App,APP_CAMPAIGN,19006054010,2022-12-19,TR,TABLET,Google search,USD,Asia/Shanghai,Dec 2022,1,6,0.0003345,0,0,0,0,2022-12-19 00:32:52,0,0,0,1,51,12,4,2022,2022Q4,第51周(12/19~12/25)
